Gene	Chr	SAM_score	Subgroup
ZNF521	18q11.2	6.97	MS
CLIC6	21q22.12	6.93	MS
NRIP1	21q11.2	6.84	MS
SPRY2	13q31.1	6.69	MS
TCEAL2	Xq22.1-q22.3	6.66	MS
SLC22A17	14q11.2	6.65	MS
MYO10	5p15.1-p14.3	6.64	MS
KIAA0992	4q32.3	6.63	MS
TEAD1	11p15.4	6.61	MS
MARK1	1q41	6.60	MS
C10orf30	10p13	6.60	MS
LR8	7q36.1	6.58	MS
LARP6	15q23	6.54	MS
MAGI1	3p14.1	6.48	MS
GNG11	7q31-q32	12.48	HP
ISL2	15q23	12.00	HP
TNFSF10	3q26	11.93	HP
TIGA1	5q21-q22	10.19	HP
SCYL2	12q23.1	10.18	HP
GTF2F2	13q14	10.00	HP
230479_at	11p15.4	9.35	HP
RPL37	5p13	9.29	HP
FCHSD2	11q13.4	9.15	HP
CCRL2	3p21	9.03	HP
PAK1	11q13-q14	9.03	HP
SIDT1	3q13.2	9.02	HP
ELOVL7	5q12.1	8.92	HP
F2R	5q13	8.91	HP
ATP5L	11q23.3	8.86	HP
CNTN5	11q21-q22.2	8.81	HP
KIAA0141	5q31.3	8.74	HP
FRZB	2qter	8.71	HP
EPHB1	3q21-q23	8.70	HP
GBA3	4p15.31	8.63	HP
MGC16037	9q34.3	8.63	HP
ICF45	5q33.3	8.62	HP
RBM30	11q13	8.59	HP
DDX58	9p12	8.53	HP
GLTSCR2	19q13.3	8.48	HP
224610_at	11q12.3	8.47	HP
FLI1	11q24.1-q24.3	8.38	HP
KIAA1912	2p16.1	8.30	HP
238039_at	5q14.1	8.28	HP
RPS17	15q	8.27	HP
C11orf2	11q13	8.24	HP
XRCC4	5q13-q14	8.23	HP
H41	3q22.1	8.22	HP
SEMA4D	9q22-q31	8.15	HP
RPL13A	19q13.3	8.10	HP
LOC129293	2p11.2	8.09	HP
RSAD2	2p25.2	8.08	HP
MNAB	9q34	7.95	HP
CSNK1G3	5q23	7.93	HP
LAG3	12p13.32	7.86	HP
PIP5K1B	9q13	7.86	HP
RPL7A	9q34	7.8	HP
OAS2	12q24.2	7.75	HP
CCR5	3p21	7.72	HP
TALDO1	11p15.5-p15.4	7.72	HP
ZNF291	15q24	7.63	HP
IPO7	11p15.4	7.63	HP
POLR1D	13q12.2	7.57	HP
AMIGO2	12q13.11	7.56	HP
LAMP3	3q26.3-q27	7.52	HP
KLHL4	Xq21.3	8.21	CD-1
ADRB1	10q24-q26	7.87	CD-1
INHBE	12q13.3	7.74	CD-1
RBP1	3q23	7.57	CD-1
CLEC2D	12p13	7.52	CD-1
SLC7A11	4q28-q32	6.92	CD-1
G0S2	1q32.2-q41	6.65	CD-1
MFAP4	17p11.2	6.59	CD-1
GPR63	6q16.1-q16.3	6.53	CD-1
ASB2	14q31-q32	6.20	CD-1
C20orf100	20q13.12	5.98	CD-1
FYN	6q21	5.93	CD-1
ALPK2	18q21.31	5.88	CD-1
PTGER2	14q22	5.85	CD-1
TBC1D16	17q25.3	5.84	CD-1
CTH	1p31.1	5.77	CD-1
EIF4EBP1	8p12	5.69	CD-1
TM6SF1	15q24-q26	5.53	CD-1
227353_at	17q25.3	5.48	CD-1
239062_at	17q25.3	5.48	CD-1
PCDH20	13q21	5.42	CD-1
CEBPB (NF-IL6)	20q13.1	5.25	CD-1
EVER1	17q25.3	5.24	CD-1
HADHSC	4q22-q26	5.21	CD-1
ZNF70	22q11.2	5.20	CD-1
PCK2	14q11.2	5.15	CD-1
GPT2	16q12.1	5.10	CD-1
SYTL1	1p36.11	5.10	CD-1
PHGDH	1p12	5.07	CD-1
NID2	14q21-q22	5.03	CD-1
XPOT	12q14.2	5.02	CD-1
SESN2	1p35.3	5.01	CD-1
FLJ14001	4p14	5.01	CD-1
ATF5	19q13.3	4.88	CD-1
RAB33A	Xq25	4.80	CD-1
RAB31	18p11.3	4.76	CD-1
OCIL	12p13	4.69	CD-1
RGAG4	Xq13.1	4.68	CD-1
TRIB3	20p13-p12.2	4.67	CD-1
BGLAP	1q25-q31	4.61	CD-1
SNFT	1q32.3	4.58	CD-1
228024_at	8p22	4.56	CD-1
ERN1	17q24.2	4.5	CD-1
GTPBP7	10q26.3	4.5	CD-1
STC2	5q35.1	4.49	CD-1
ITGAL	16p11.2	4.44	CD-1
PPP2R5E	14q23.1	4.43	CD-1
CSTA	3q21	4.39	CD-1
EVER2	17q25.3	4.39	CD-1
DJ971N18.2	20p12	4.37	CD-1
MS4A1	11q12	10.95	CD-2
VPREB3	22q11.23	10.83	CD-2
DTX1	12q24.13	10.4	CD-2
CLLU1	12q22	8.93	CD-2
236065_at	12q12	8.57	CD-2
SORT1	1p21.3-p13.1	8.45	CD-2
1556583_a_at	2p22.1	7.85	CD-2
PAX5	9p13	7.72	CD-2
SRC	20q12-q13	6.94	CD-2
SDC2	8q22-q23	6.92	CD-2
METRNL	17q25.3	6.89	CD-2
C1orf165	1p33	6.78	CD-2
CNR1	6q14-q15	6.75	CD-2
APLP2	11q23-q25	6.67	CD-2
FCRLM2	1q23.3	6.66	CD-2
NF1	17q11.2	6.62	CD-2
PNOC	8p21	6.58	CD-2
TNFRSF7 (CD27L)	12p13	6.57	CD-2
PPAP2B	1pter-p22.1	6.55	CD-2
MARCKS	6q22.2	6.51	CD-2
LAMA2	6q22-q23	6.45	CD-2
PLXNB2	22q13.33	6.44	CD-2
C2orf24	2q35	6.38	CD-2
243780_at	22q13.2	6.36	CD-2
CD79A	19q13.2	6.35	CD-2
RCBTB2	13q14.3	6.33	CD-2
PHLPPL	16q22.2	6.15	CD-2
1560225_at	6q15	6.14	CD-2
LOC338758	12q21.33	6.09	CD-2
RNGTT	6q16	6.02	CD-2
238282_at	3q26.32	5.95	CD-2
227396_at	11p11.2	5.91	CD-2
235764_at	4q27	5.83	CD-2
DYRK2	12q15	5.82	CD-2
B3GALT3	3q25	5.77	CD-2
ZNF395	8p21.1	5.76	CD-2
TRAF5	1q32	5.76	CD-2
SPAG4	20q11.21	5.75	CD-2
ADSSL1	14q32.33	5.74	CD-2
PIK3AP1	10q24.1	5.66	CD-2
PDZRN4	12q12	5.65	CD-2
ZNF608	5q23.2	5.65	CD-2
RGS13	1q31.2	5.64	CD-2
TGIF	18p11.3	5.64	CD-2
NAGK	2p13.3	5.63	CD-2
DUSP22	6p25.3	5.63	CD-2
TNFSF8 (CD30L)	9q33	5.63	CD-2
RERE	1p36.1-p36.2	5.62	CD-2
DHTKD1	10p14	5.61	CD-2
ITPKB	1q42.13	5.57	CD-2
CX3CR1	3p21	14.68	MF
TMEM37	2q14.2	14.14	MF
NUAK1 (ARK5)	12q23.3	13.46	MF
GPM6B	Xp22.2	12.32	MF
TLR4	9q32-q33	12.25	MF
ITGB7	12q13.13	11.92	MF
SMARCA1	Xq25	11.86	MF
ARID5A	2q11.2	11.75	MF
NTRK2	9q22.1	10.31	MF
LOC400451	15q26.1	10.27	MF
SPP1	4q21-q25	9.99	MF
1570445_a_at	5q35.2	9.42	MF
1569785_at	18q12.3	9.40	MF
MCTP1	5q15	9.37	MF
GREB1	2p25.1	9.35	MF
PRSS7	21q21	9.32	MF
DPYSL2	8p22-p21	9.31	MF
COTL1	16q24.1	9.09	MF
SLC25A20	3p21.31	8.79	MF
MGC2574	11q12.2	8.72	MF
LOC441117	5q35.2	8.70	MF
DEFB4	8p23.1-p22	8.59	MF
SHMT1	17p11.2	8.48	MF
MFAP2	1p36.1-p35	8.27	MF
TRIM47	17q25.1	8.23	MF
DFNB31	9q32-q34	8.13	MF
CEBPD	8p11.2-p11.1	8.01	MF
LOC151162	2q21.3	7.96	MF
RASSF4	10q11.21	7.89	MF
C20orf22	20p11.21	7.46	MF
CDH1 (E-cahherin)	16q22.1	7.43	MF
ARPC1B	7q22.1	7.42	MF
FAM70A	Xq24	7.41	MF
AGMAT	1p36.13	7.39	MF
CD109	6q13	7.30	MF
NMU	4q12	7.26	MF
C20orf39	20p11.21	7.22	MF
TUBB-PARALOG	6p25	7.16	MF
ECGF1	22q13	7.15	MF
DOCK4	7q31.1	7.10	MF
CXCL12 (SDF-1)	10q11.1	7.08	MF
ABLIM1	10q25	7.06	MF
ARHGAP6	Xp22.3	7.02	MF
RNASE6	14q11.2	7.02	MF
PBP	12q24.23	7.00	MF
ATP13A2	1p36	6.99	MF
APOBEC3A	22q13.1-q13.2	6.88	MF
PYGB	20p11.2-p11.1	6.80	MF
LCP2	5q33.1-qter	6.79	MF
SFRP2	4q31.3	6.72	MF
